size,Triton (GB/s),torch (GB/s)
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,38.400001,38.400001
32768.000000,76.800002,76.800002
65536.000000,127.999995,127.999995
131072.000000,192.000000,192.000000
262144.000000,279.272725,279.272725
524288.000000,361.411758,361.411758
1048576.000000,423.724127,423.724127
2097152.000000,446.836360,446.836360
4194304.000000,459.364487,459.364487
8388608.000000,470.354055,470.354055
16777216.000000,476.048424,476.048424
33554432.000000,477.203890,477.203890
67108864.000000,478.947611,478.947611
134217728.000000,479.677943,478.947611
